"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Busca um usuário pelo ID e valida nome e ID na resposta.","453","GET - buscar usuário existente","chromium","2026-05-15","passed","2026-05-15","","api.spec.js","",""
"Login com usuário inexistente deve exibir mensagem de erro.","1288","login com usuário inválido","chromium","2026-05-15","passed","2026-05-15","","login.spec.js","",""
"Busca um usuário inexistente e valida que a API retorna 404.","25","GET - recurso não encontrado","chromium","2026-05-15","passed","2026-05-15","","api.spec.js","",""
"","836","get started link","firefox","2026-05-15","passed","2026-05-15","","example.spec.js","",""
"Usuário com credenciais válidas acessa o dashboard e vê mensagem de boas-vindas.","1638","login com sucesso","firefox","2026-05-15","passed","2026-05-15","","login.spec.js","",""
"Login com senha incorreta deve exibir mensagem de erro.","1203","login com senha inválida","chromium","2026-05-15","passed","2026-05-15","","login.spec.js","",""
"Lista todos os posts e valida que a resposta não está vazia.","24","GET - listar todos os posts","firefox","2026-05-15","passed","2026-05-15","","api.spec.js","",""
"Cria um novo post e valida que o ID foi gerado pelo servidor.","92","POST - criar novo post","chromium","2026-05-15","passed","2026-05-15","","api.spec.js","",""
"Cria um novo post e valida que o ID foi gerado pelo servidor.","91","POST - criar novo post","firefox","2026-05-15","passed","2026-05-15","","api.spec.js","",""
"","369","get started link","chromium","2026-05-15","passed","2026-05-15","","example.spec.js","",""
"","257","has title","chromium","2026-05-15","passed","2026-05-15","","example.spec.js","",""
"Busca um usuário inexistente e valida que a API retorna 404.","23","GET - recurso não encontrado","firefox","2026-05-15","passed","2026-05-15","","api.spec.js","",""
"Usuário com credenciais válidas acessa o dashboard e vê mensagem de boas-vindas.","1495","login com sucesso","chromium","2026-05-15","passed","2026-05-15","","login.spec.js","",""
"Busca um usuário pelo ID e valida nome e ID na resposta.","423","GET - buscar usuário existente","firefox","2026-05-15","passed","2026-05-15","","api.spec.js","",""
"Login com senha incorreta deve exibir mensagem de erro.","1120","login com senha inválida","firefox","2026-05-15","passed","2026-05-15","","login.spec.js","",""
"Lista todos os posts e valida que a resposta não está vazia.","23","GET - listar todos os posts","chromium","2026-05-15","passed","2026-05-15","","api.spec.js","",""
"","1254","has title","firefox","2026-05-15","passed","2026-05-15","","example.spec.js","",""
"Login com usuário inexistente deve exibir mensagem de erro.","1213","login com usuário inválido","firefox","2026-05-15","passed","2026-05-15","","login.spec.js","",""
